id,encounter_date,reported_date,year,month,hour,season,country_code,country,region,locale,latitude,longitude,ufo_shape,duration_secs,description
21579,2009-12-31 22:15:00,2010-02-14,2009,December,22,Winter,,United Kingdom,,,50.783333,-0.466667,Light,60.0,orange light moving quickly
22163,1976-12-04 14:00:00,2006-12-07,1976,December,14,Winter,,United Kingdom,,,53.716667,-0.333333,Egg,1200.0,small object dark grey to black approx 18 - 24 inches across about 12 inches in height was stationary at about 40 feet in the air s
22398,2012-12-04 13:30:00,2012-12-20,2012,December,13,Winter,,United States,,,38.907192,-77.036871,Sphere,2.0,me gustar&iacute;a me enviaran mas informaci&oacute;n con respecto a la esfera que vi gracias.
22478,1991-12-05 01:45:00,2002-08-28,1991,December,1,Winter,,United Kingdom,,,51.864245,-2.238156,Triangle,600.0,the sound from the craft moved threw the air before we saw it about two minutes after we saw the craft it was triangular in shap and ve
22530,2000-01-25 21:40:00,2000-02-16,2000,January,21,Winter,,France,,,46.341547,2.601991,,360.0,sorry for my english ... a yellow light on north/ouest montlu&ccedil;on .the light  was different than stars after five minits of no mouvement
22547,2002-01-25 17:00:00,2002-07-26,2002,January,17,Winter,,United States,,,39.9252778,-76.1983333,Cylinder,300.0,the craft was a charcoal colored cylinder that hovered approx.100 above the ground and appeared to be about 50 feet in length.
22549,2002-01-25 19:00:00,2002-02-22,2002,January,19,Winter,,United States,,,32.4427778,-93.9727778,Sphere,14400.0,glowing orb flashes and hovers for three hours in smalltown in north louisiana.
22550,2002-01-25 19:25:00,2002-01-29,2002,January,19,Winter,,United Kingdom,,,53.133333,-1.2,Light,30.0,strange glow in sky at pleasley
22552,2002-01-25 20:00:00,2002-03-19,2002,January,20,Winter,,United States,,,35.0011111,-92.6297222,Triangle,120.0,slow moving triangle craft above clearcut field in rural arkansas
22553,2002-01-25 20:15:00,2002-01-29,2002,January,20,Winter,,United States,,,36.4877778,-87.8383333,Other,240.0,dropping lights catch the eye.
22563,2003-01-25 14:03:00,2003-01-26,2003,January,14,Winter,,Germany,,,49.680278,8.616111,Oval,15.0,i saw a white spot with a white cloudy haze around it in the sky about the size of an eraser head that dissappeared after about 15 sec.
